,card_name,card_url,card_img,card_summary
0,#MY WAY(샵 마이웨이) 카드,15444,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14022.gif," 1. 대중교통,커피,편의점 건당 300원 청구할인 2. 디지털 구독, 주유/충전 건당 3,000원 청구할인 3. 쇼핑, 생활요금 건당 3,000원 청구할인"
1,#any 하나카드,15249,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13944.gif, 1. 디지털 구독 50% 청구할인 2. 디지털 결제 1% 청구할인 3. 국내외 전 가맹점 0.5% 청구할인
2,에너지 더블 카드,16772,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14422.png, 1. 에너지 공과금 10% 청구할인 2. 일상생활 5% 청구할인 3. EV(전기차)충전 10% 청구할인
3,MULTI Living 모바일카드,12900,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13059.png, 1. 온라인 쇼핑/마트 주중 최대 10% 할인 2. 주유/백화점 주말 최대 10% 할인 3. 페이결제 매일 1% 할인
4,#tag1카드 Orange,8551,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11746.png, 1. 커피 25~50% 할인 2. 편의점/통신요금/쇼핑 5~10% 할인 3. 대중교통 7% 할인
5,#tag1카드 Navy,8553,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/11747.png, 1. 학원/아파트관리비 5~10% 할인 2. 통신요금/쇼핑 5~10% 할인 3. 대형마트 5% 할인
6,국민 행복 카드,12792,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13009.png, 1. 보육료/유아학비 본인부담금 할인 1만원 청구할인 2. 커피 10% 청구할인 3. 병원/약국 5% 청구할인
7,그린 카드,1215,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/02351.png," 1. 에코머니 포인트 적립 2. 문화, 레저시설 최대 50% 할인 3. 대형 할인점 2~3개월 무이자할부"
8,하나 원큐 카드,12942,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13066.png, 1. 하나원큐페이 결제 1.8% 적립 2. 국내 전가맹점 0.8% 적립 3. 해외 전가맹점 1.8% 적립
9,대구로 카드,16797,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14455.png, 1. 대구로 택시 앱 10% 청구할인 2. 대구로 앱 10% 청구할인 3. 생활밀착업종 5% 청구할인
10,국민연금증 연금하나카드,16728,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/14424.png, 1. 대중교통·소액 의료 최대 1만원 캐쉬백 2. SSM/편의점/SK주유소 5% 캐쉬백 3. 영화 5천원 캐쉬백
11,로마드 하나카드,14783,https://www.hanacard.co.kr/ATTACH/NEW_HOMEPAGE/images/cardinfo/card_img/13736.png," 1. 로마드 구독요금 월 13,000원 할인 2. 온라인 쇼핑 3% 할인 3. 스타벅스 5% 할인"
