,card_name,card_url,card_img
0,신한카드 봄,1221135_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAQDD6Ns.gif
1,신한카드 봄(도구리),1223604_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAQDDC4s.png
2,신한카드 Globus,1221213_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBUAD6Js.gif
3,신한카드 플리,1216829_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPLACXPs.png
4,신한카드 플리(산리오캐릭터즈),1220329_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditPLAD43s.png
5,신한카드 핏(Fit),1218726_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAXKD3Xs.png
6,신한카드 My TeenS(포차코),1224263_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBSADDSs.png
7,신한카드 EVerywhere,1219683_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBTDD42s.png
8,신한카드 Eats More(곰표),1218137_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAOCD1Zs.png
9,신한카드 Eats More(이츠모아),1215320_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAOCCT6s.gif
10,신한카드 Unboxing,1198302_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBCECA3_1s.png
11,신한카드 래플(Raffle),1217251_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBSBD03s.png
12,신한카드 Deep Dream(모베러웍스),1214145_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBJACQ6s.png
13,신한카드 구독 좋아요,1220057_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditBNCD4Es.png
14,#Pay 신한카드,1211510_2207.html,https://www.shinhancard.com/pconts/images/contents/card/plate/cdCreditAXICIYs.png
